[0706/213208.563:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0706/213209.990:INFO:CONSOLE(2)] "Could not get context for WebGL version 2", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.002:INFO:CONSOLE(2)] "Could not get context for WebGL version 1", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.003:INFO:CONSOLE(2)] "Initialization of backend webgl failed", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.003:INFO:CONSOLE(2)] "Error: WebGL is not supported on this device
    at new n (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:995299)
    at Object.factory (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:1015949)
    at e.value (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:80245)
    at e.value (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:81706)
    at e.get (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:77980)
    at e.value (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:86642)
    at qi (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:103240)
    at Module.Xp (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:255059)
    at new n (https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:1671155)
    at https://andythebreaker.github.io/static/js/main.f58b1d15.js:2:2050079", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.004:INFO:CONSOLE(2)] "1,2,7,1,4,7,4,4,7,4,0,7", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.114:INFO:CONSOLE(2)] "0,0,1,0", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.124:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.149:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.156:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.164:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.172:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.183:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.192:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.198:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
[0706/213210.203:INFO:CONSOLE(2)] "[object Object]", source: https://andythebreaker.github.io/static/js/main.f58b1d15.js (2)
